id,category,option,best_for,avoid_when,tradeoffs,tags,last_verified
UX001,Neutral-Led,"Warm Off-White + Ink (#F7F4EE base, #1A1A17 text, single warm accent)","Editorial, portfolio, and brand-forward SaaS sites wanting a warm, print-inspired feel instead of the default cold gray-on-white","A product needing high information density (dashboards) where warm off-white can reduce perceived contrast at small sizes","Feels considered and less 'default Tailwind gray' at zero extra cost, but needs the accent color chosen deliberately since it carries the palette's entire personality","warm-neutral|editorial|off-white",2026-07-03
UX002,Neutral-Led,"Cool Slate Neutrals (#0F172A through #F8FAFC, one saturated accent)","Technical/developer-facing products wanting a precise, structured feel","A brand wanting warmth or approachability — cool slate reads clinical/technical by design","A well-worn but reliable palette family; distinctiveness has to come from the single accent choice and typography, not the neutrals themselves","cool-neutral|slate|technical",2026-07-03
UX003,High Contrast,"Brutalist Black & White + Acid Accent (#000000, #FFFFFF, one acid tone like #D4FF00)","Brands wanting to signal confidence/boldness — portfolios, creative agencies, product launches wanting to stand out from soft SaaS defaults","Healthcare, finance, or any context where the audience expects calm/trustworthy over bold","Extremely high contrast and memorable, but has zero room for subtlety — every other design decision (type, spacing) has to be equally confident or the boldness reads as unfinished rather than intentional","brutalist|high-contrast|acid-accent",2026-07-03
UX004,High Contrast,"Deep Ink + Single Warm Accent (#12100E base, #FFFFFF text, #E8734A accent)","Premium/editorial products wanting a dark, confident feel without going full brutalist","Content-heavy pages where extended dark-mode reading needs a softer near-black instead of true black","Reads premium and considered; near-black instead of pure black is easier on the eyes for longer reading sessions than #000000","dark-premium|editorial|warm-accent",2026-07-03
UX005,Desaturated,"Muted Sage & Clay (#8A9A8E, #C4A484, #F5F1EA base)","Wellness, sustainability, and lifestyle brands wanting an organic, calm feel distinct from typical SaaS blue","A product needing to feel technical, fast, or high-energy — muted tones actively work against urgency","Distinctive specifically because most competitors default to blue — the palette itself becomes a differentiator in a blue-saturated category","muted|earth-tones|wellness",2026-07-03
UX006,Desaturated,"Desaturated Pastel Tech (#B8C5D6, #D6C5B8, #E8E4DE base)","Consumer tech products wanting to feel friendly/approachable rather than corporate — the 'soft tech' aesthetic","B2B enterprise sales contexts where desaturated pastels can undercut a 'serious tool' positioning","Approachable and calm, but this exact aesthetic direction became common in consumer tech circa 2023-2025 — pair with a distinctive type choice (frontend-distinctiveness.md) so the palette alone doesn't read as templated","pastel|consumer-tech|approachable",2026-07-03
UX007,Saturated/Bold,"Deep Jewel Tones (#5B2C6F emerald-adjacent purple, #1E5F4E deep teal, #F4C430 gold accent)","Luxury, hospitality, and premium consumer brands wanting richness without going to primary/neon colors","Minimalist or utility-focused products where jewel tones would read as decorative rather than functional","Signals richness and craft, but needs careful contrast checking (WCAG, `QA027`) since jewel tones can have deceptively low contrast against each other at a glance","jewel-tones|luxury|premium",2026-07-03
UX008,Saturated/Bold,"Electric Gradient Duo (e.g. #6366F1 to #EC4899, used sparingly on hero/CTA surfaces only)","A single high-impact hero moment or CTA — not the whole interface","Applying the gradient everywhere — a gradient used as the entire palette rather than a targeted accent reads as generic 'AI startup' aesthetic","Gradients are simultaneously one of the most overused AND most effective techniques when scoped correctly — the distinction is restraint: one hero section, not every button, not every card","gradient|accent|hero-moment",2026-07-03
UX009,Monochrome,"Single-Hue Ramp (one hue, 8-10 lightness steps, no second color except semantic red/green)","Data-dense products (dashboards, admin panels) where visual noise from multiple hues actively hurts scanability","Marketing/brand pages needing more personality than a single hue can carry alone","Forces genuine information-hierarchy discipline since lightness/weight must do the work color usually does — often produces cleaner UIs than multi-color palettes by removing a degree of freedom that's easy to misuse","monochrome|data-dense|dashboard",2026-07-03
UX010,Monochrome,"Duotone (two hues only: one neutral-adjacent, one accent, used consistently)","Portfolio and product-marketing sites wanting a distinctive, consistent visual signature across every page","Complex apps needing many semantic colors (status, category, priority) — duotone constrains the palette below what's needed there","The constraint itself becomes the brand signature — recognizable specifically because it's unusual to commit to only two hues this strictly","duotone|brand-signature|portfolio",2026-07-03
